Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
APC0_LN,null -> V_LN.APC,k_APC_death*(APC0_LN*V_LN-V_LN.APC),,,"['k_APC_death']","[{""name"":""V_LN.APC"",""compartment"":""V_LN"",""notes"":""Number of naive antigen presenting cells in the lymph node""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
APC0_T,null -> V_T.APC,k_APC_death*(APC0_T*V_T-V_T.APC),,,"['k_APC_death']","[{""name"":""V_T.APC"",""compartment"":""V_T"",""notes"":""Number of naive antigen presenting cells in the tumour""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
APC_CD80_total,,,syn_CD8_APC.CD80 = APC_CD80_total /A_APC,initialAssignment,"['A_APC']","[{""name"":""syn_CD8_APC.CD80"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_CD86_total,,,syn_CD8_APC.CD86 = APC_CD86_total /A_APC,initialAssignment,"['A_APC']","[{""name"":""syn_CD8_APC.CD86"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of CD86 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_PDL1_base,,,syn_CD8_APC.PDL1 = APC_PDL1_base /A_APC,initialAssignment,"['A_APC']","[{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_PDL1_base,,,syn_CD8_APC.PDL2 = APC_PDL1_base*r_PDL2APC /A_APC,initialAssignment,"['A_APC','r_PDL2APC']","[{""name"":""syn_CD8_APC.PDL2"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_PDL1_base,null -> syn_CD8_APC.PDL1,k_in_PDL1*(APC_PDL1_base/A_cell-syn_CD8_APC_PDL1_total),,,"['A_cell','k_in_PDL1','syn_CD8_APC_PDL1_total']","[{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_PDL1_base,null -> syn_CD8_APC.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_APC_PDL1_total/(APC_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','syn_CD8_APC_PDL1_total','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_PDL1_base,null -> syn_CD8_APC.PDL2,k_in_PDL1*(APC_PDL1_base/A_cell*r_PDL2APC-syn_CD8_APC_PDL2_total),,,"['A_cell','k_in_PDL1','r_PDL2APC','syn_CD8_APC_PDL2_total']","[{""name"":""syn_CD8_APC.PDL2"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
APC_PDL1_base,null -> syn_CD8_APC.PDL2,k_out_PDL1*r_PDL2APC*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_APC_PDL2_total/(APC_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2APC)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','r_PDL2APC','syn_CD8_APC_PDL2_total','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_APC.PDL2"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL2 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
